Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
10287	"JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL"	0263-0923	128	0.409	0.387	0.000160
10287	"Mathematica Slovaca"	0139-9918	489	0.409	0.405	0.000860
10287	"Trabajos de Prehistoria"	0082-5638	187	0.409	0.536	0.000210
1029	"Biogeosciences"	1726-4170	"Not Available"	3.978	4.668	0.044170
10292	"ACTA CHIRURGICA BELGICA"	0001-5458	755	0.408	0.402	0.001140
10292	"CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES"	0008-4395	838	0.408	0.400	0.003020
10292	"INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION"	0826-8185	169	0.408	0.422	0.000330
10292	"SURVIVAL"	0039-6338	399	0.408	0.547	0.001940
10296	"ARCHIVES DE PEDIATRIE"	0929-693X	"Not Available"	0.407	0.336	0.001790
10296	"ECOLOGY LAW QUARTERLY"	0046-1121	234	0.407	0.371	0.000520
10296	"MICHIGAN MATHEMATICAL JOURNAL"	0026-2285	"Not Available"	0.407	0.585	0.002840
10296	"PHYSICS IN PERSPECTIVE"	1422-6944	57	0.407	0.286	0.000140
10296	"SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES"	0539-0184	623	0.407	0.473	0.000440
10296	"Turkish Journal of Electrical Engineering and Computer Sciences"	1300-0632	298	0.407	0.507	0.000740
10296	"disP"	0251-3625	97	0.407	0.303	0.000220
103	"MOLECULAR PSYCHIATRY"	1359-4184	"Not Available"	14.496	13.834	0.043170
1030	"NEUROREHABILITATION AND NEURAL REPAIR"	1545-9683	"Not Available"	3.976	4.626	0.010930
10304	"CARNETS DE GEOLOGIE"	1634-0744	92	0.406	"Not Available"	0.000200
10304	"Economic Computation and Economic Cybernetics Studies and Research"	0424-267X	91	0.406	0.272	0.000250
10304	"Journal de Theorie des Nombres de Bordeaux"	1246-7405	245	0.406	"Not Available"	0.001470
10304	"Journal of Homeland Security and Emergency Management"	2194-6361	147	0.406	0.481	0.000740
10304	"KOVOVE MATERIALY-METALLIC MATERIALS"	0023-432X	210	0.406	0.433	0.000430
10304	"NEUROCHIRURGIE"	0028-3770	554	0.406	0.381	0.000530
10304	"PATHOLOGE"	0172-8113	526	0.406	0.510	0.000720
10304	"REVIEW OF RELIGIOUS RESEARCH"	0034-673X	475	0.406	0.421	0.000410
1031	"BONE"	8756-3282	"Not Available"	3.973	4.312	0.035600
10313	"AERONAUTICAL JOURNAL"	0001-9240	550	0.405	0.479	0.001060
10313	"APPLIED ENGINEERING IN AGRICULTURE"	0883-8542	"Not Available"	0.405	0.644	0.001710
10313	"INTERNATIONAL JOURNAL OF VEHICLE DESIGN"	0143-3369	538	0.405	0.433	0.000630
10313	"Intercultural Pragmatics"	1612-295X	152	0.405	0.800	0.000680
10313	"Journal of Pseudo-Differential Operators and Applications"	1662-9981	43	0.405	0.538	0.000450
10313	"Malaysian Journal of Computer Science"	0127-9084	74	0.405	0.449	0.000080
10313	"OCEAN DEVELOPMENT AND INTERNATIONAL LAW"	0090-8320	122	0.405	0.419	0.000300
10313	"RAIRO-OPERATIONS RESEARCH"	0399-0559	178	0.405	0.505	0.000490
10313	"Social Epistemology"	0269-1728	163	0.405	"Not Available"	0.000300
10313	"University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics"	1223-7027	140	0.405	0.329	0.000300
1032	"BIOPHYSICAL JOURNAL"	0006-3495	"Not Available"	3.972	3.874	0.085870
1032	"JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS"	0022-3565	"Not Available"	3.972	3.819	0.034290
1032	"PARKINSONISM & RELATED DISORDERS"	1353-8020	"Not Available"	3.972	3.885	0.014920
10323	"International Journal of Nursing Knowledge"	2047-3087	23	0.404	0.404	0.000070
10323	"LATIN AMERICAN PERSPECTIVES"	0094-582X	422	0.404	0.621	0.001480
10323	"Nephrologie & Therapeutique"	1769-7255	209	0.404	0.368	0.000500
10323	"PAKISTAN JOURNAL OF ZOOLOGY"	0030-9923	628	0.404	0.447	0.000990
10323	"Romanian Biotechnological Letters"	1224-5984	348	0.404	0.442	0.000960
10323	"SCIENCE IN CONTEXT"	0269-8897	240	0.404	0.446	0.000790
10331	"COMPUTATIONAL STATISTICS"	0943-4062	438	0.403	0.558	0.001770
10331	"ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH"	0792-156X	340	0.403	0.466	0.000400
10331	"International Journal of Aeroacoustics"	1475-472X	209	0.403	0.741	0.001020
10331	"MECHANICAL ENGINEERING"	0025-6501	735	0.403	0.375	0.000450
10331	"SOCIAL HISTORY OF MEDICINE"	0951-631X	295	0.403	0.443	0.000490
10337	"JOURNAL OF WORLD TRADE"	1011-6702	251	0.402	0.382	0.000730
10337	"OSAKA JOURNAL OF MATHEMATICS"	0030-6126	729	0.402	0.466	0.002900
10339	"Journal of Thermal Science"	1003-2169	358	0.401	0.448	0.000880
10339	"Nuclear Science and Techniques"	1001-8042	189	0.401	0.302	0.000600
10341	"ACTA SCIENTIARUM-TECHNOLOGY"	1806-2563	146	0.400	0.369	0.000340
10341	"ANTI-CORROSION METHODS AND MATERIALS"	0003-5599	352	0.400	0.497	0.000320
10341	"Applications of Mathematics"	0862-7940	241	0.400	0.430	0.000580
10341	"BEHAVIOR ANALYST"	0738-6729	299	0.400	0.978	0.000470
10341	"Dynamics of Partial Differential Equations"	1548-159X	159	0.400	1.131	0.001110
10341	"French History"	0269-1191	93	0.400	0.305	0.000260
10341	"IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH"	0791-6833	279	0.400	1.171	0.000510
10341	"Innovation-The European Journal of Social Science Research"	1351-1610	181	0.400	0.540	0.000330
10341	"JOURNAL OF BRITISH STUDIES"	0021-9371	369	0.400	0.572	0.000910
10341	"JOURNAL OF MORAL EDUCATION"	0305-7240	394	0.400	0.454	0.000330
10341	"JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY"	1302-0250	104	0.400	0.503	0.000370
10341	"Mathematical Thinking and Learning"	1098-6065	217	0.400	1.090	0.000620
10341	"NEGOTIATION JOURNAL"	0748-4526	237	0.400	0.410	0.000310
10341	"POLITICAL SCIENCE"	0032-3187	88	0.400	0.380	0.000150
10341	"Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME"	1665-2436	46	0.400	0.361	0.000170
10341	"Revista Mexicana de Ciencias Pecuarias"	2007-1124	67	0.400	0.397	0.000200
10341	"Stratigraphy"	1547-139X	217	0.400	1.034	0.000550
10341	"ZYGON"	0591-2385	261	0.400	0.336	0.000140
10341	"Zeitschrift fur Neuropsychologie"	1016-264X	76	0.400	0.302	0.000100
1035	"CURRENT OPINION IN HEMATOLOGY"	1065-6251	"Not Available"	3.970	3.578	0.007980
1036	"International Journal of Bio-Inspired Computation"	1758-0366	467	3.969	2.778	0.000990
10360	"IZVESTIYA-PHYSICS OF THE SOLID EARTH"	1069-3513	505	0.399	0.458	0.001200
10360	"JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION"	1000-2413	"Not Available"	0.399	0.579	0.002030
10360	"PRZEMYSL CHEMICZNY"	0033-2496	758	0.399	0.332	0.000760
10360	"ROCKY MOUNTAIN JOURNAL OF MATHEMATICS"	0035-7596	"Not Available"	0.399	0.479	0.003590
10364	"ENTOMOLOGICAL RESEARCH"	1738-2297	184	0.398	"Not Available"	0.000460
10364	"HISTORY OF THE HUMAN SCIENCES"	0952-6951	285	0.398	0.621	0.001210
10367	"CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA"	0008-4840	213	0.397	0.544	0.000420
10367	"JOURNAL OF MODERN ITALIAN STUDIES"	1354-571X	117	0.397	0.331	0.000520
10367	"LITHOLOGY AND MINERAL RESOURCES"	0024-4902	334	0.397	0.393	0.000350
10367	"MEDYCYNA PRACY"	0465-5893	208	0.397	0.305	0.000240
10367	"SOUTH AFRICAN JOURNAL OF SURGERY"	0038-2361	205	0.397	0.553	0.000450
10367	"SOUTHERN JOURNAL OF APPLIED FORESTRY"	0148-4419	403	0.397	0.632	0.000430
1037	"DYES AND PIGMENTS"	0143-7208	"Not Available"	3.966	3.700	0.012770
10373	"Cross Cultural Management-An International Journal"	1352-7606	255	0.396	0.853	0.000470
10373	"INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE"	1943-670X	193	0.396	0.404	0.000170
10373	"JOURNAL OF LIE THEORY"	0949-5932	240	0.396	0.496	0.002100
10373	"Journal of Electrochemical Science and Technology"	2093-8551	55	0.396	"Not Available"	0.000160
10373	"Social Work in Public Health"	1937-1918	143	0.396	0.567	0.000580
10378	"AQUATIC INSECTS"	0165-0424	302	0.395	0.415	0.000440
10378	"Journal of Language Identity and Education"	1534-8458	172	0.395	0.694	0.000650
1038	"GLOBAL BIOGEOCHEMICAL CYCLES"	0886-6236	"Not Available"	3.965	5.373	0.018940
10380	"ARCHIV DER MATHEMATIK"	0003-889X	"Not Available"	0.394	0.491	0.005210
10380	"Eco mont-Journal on Protected Mountain Areas Research"	2073-106X	35	0.394	0.395	0.000130
10380	"Optoelectronics and Advanced Materials-Rapid Communications"	1842-6573	681	0.394	0.363	0.001730
10380	"RATIONALITY AND SOCIETY"	1043-4631	472	0.394	0.663	0.000690
10380	"Water Science and Technology-Water Supply"	1606-9749	702	0.394	"Not Available"	0.001110
10385	"CASTANEA"	0008-7475	363	0.393	0.390	0.000260
10385	"FREQUENZ"	0016-1136	162	0.393	0.253	0.000270
10385	"Food Science and Technology"	0101-2061	80	0.393	0.407	0.000160
10385	"International Journal on Artificial Intelligence Tools"	0218-2130	282	0.393	0.371	0.000530
10385	"JOURNAL OF AVIAN MEDICINE AND SURGERY"	1082-6742	323	0.393	0.737	0.000560
10385	"Science and Technology of Energetic Materials"	1347-9466	111	0.393	0.420	0.000170
1039	"LUNG CANCER"	0169-5002	"Not Available"	3.958	3.684	0.021500
10391	"Geriatrie et Psychologie Neuropsychiatrie de Vieillissement"	2115-8789	69	0.392	0.430	0.000210
10391	"HEART SURGERY FORUM"	1098-3511	531	0.392	0.464	0.001270
10391	"JOURNAL OF CONTEMPORARY HISTORY"	0022-0094	374	0.392	0.347	0.001060
10391	"Journal of Physical Therapy Science"	0915-5287	572	0.392	0.414	0.000750
10391	"Ochrona Srodowiska"	1230-6169	141	0.392	0.379	0.000260
10391	"Studies in Conflict & Terrorism"	1057-610X	367	0.392	0.603	0.001540
10397	"INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT"	0091-4150	976	0.391	0.897	0.000900
10398	"CHIMICA OGGI-CHEMISTRY TODAY"	0392-839X	410	0.390	0.405	0.000820
10398	"COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS"	0010-3624	"Not Available"	0.390	0.553	0.002940
10398	"FUNCTIONAL ANALYSIS AND ITS APPLICATIONS"	0016-2663	"Not Available"	0.390	0.533	0.001480
10398	"Games and Culture"	1555-4120	199	0.390	0.942	0.000690
10398	"Physics of Wave Phenomena"	1541-308X	103	0.390	0.353	0.000450
10398	"RUSSIAN JOURNAL OF ECOLOGY"	1067-4136	613	0.390	0.430	0.000750
10398	"Social Dynamics-A Journal of African Studies"	0253-3952	206	0.390	0.418	0.000610
104	"ARCHIVES OF GENERAL PSYCHIATRY"	0003-990X	"Not Available"	14.480	15.560	0.048690
1040	"JOURNAL OF PSYCHIATRIC RESEARCH"	0022-3956	"Not Available"	3.957	4.542	0.022700
10405	"ADVANCED MATERIALS & PROCESSES"	0882-7958	415	0.389	0.247	0.000330
10405	"Acta Geodynamica et Geomaterialia"	1214-9705	209	0.389	0.606	0.000720
10405	"B E Journal of Macroeconomics"	1935-1690	198	0.389	0.406	0.001470
10405	"International Journal of Acoustics and Vibration"	1027-5851	91	0.389	0.420	0.000240
10405	"Probability and Mathematical Statistics-Poland"	0208-4147	174	0.389	"Not Available"	0.001010
10405	"VOLTA REVIEW"	0042-8639	241	0.389	0.477	0.000260
10411	"Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca"	0001-5415	304	0.388	0.448	0.000550
10411	"COMMUNICATIONS IN ALGEBRA"	0092-7872	"Not Available"	0.388	0.494	0.010390
10411	"GRAPHS AND COMBINATORICS"	0911-0119	511	0.388	0.444	0.003210
10411	"JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS"	1064-2269	813	0.388	0.309	0.001040
10411	"Japan Journal of Nursing Science"	1742-7932	84	0.388	0.602	0.000260
10417	"ENTOMOLOGIA GENERALIS"	0171-8177	210	0.387	0.366	0.000160
10417	"INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEMISTRY"	0376-4699	"Not Available"	0.387	0.635	0.001180
10417	"JOURNAL FRANCAIS D OPHTALMOLOGIE"	0181-5512	850	0.387	0.409	0.000840
10417	"Jundishapur Journal of Microbiology"	2008-3645	173	0.387	0.469	0.000480
10417	"KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY"	1017-7833	201	0.387	0.272	0.000330
10417	"Review of Cognitive Linguistics"	1877-9751	36	0.387	"Not Available"	0.000300
1042	"Oncogenesis"	2157-9024	363	3.952	3.952	0.001830
10423	"BOTHALIA"	0006-8241	301	0.386	0.506	0.000150
10423	"Computational Methods and Function Theory"	1617-9447	216	0.386	"Not Available"	0.001160
10423	"DYNAMIC SYSTEMS AND APPLICATIONS"	1056-2176	290	0.386	0.449	0.000730
10423	"EURASIP Journal on Audio Speech and Music Processing"	1687-4722	95	0.386	0.624	0.000340
10423	"East Asian Journal on Applied Mathematics"	2079-7362	42	0.386	0.545	0.000380
10423	"Energy Sources Part A-Recovery Utilization and Environmental Effects"	1556-7036	"Not Available"	0.386	0.576	0.002200
10423	"Global Economic Review"	1226-508X	76	0.386	0.412	0.000250
10423	"INDIAN JOURNAL OF BIOTECHNOLOGY"	0972-5849	511	0.386	0.554	0.000810
10423	"Ideggyogyaszati Szemle-Clinical Neuroscience"	0019-1442	125	0.386	0.284	0.000180
10423	"LIBRARY TRENDS"	0024-2594	412	0.386	0.398	0.000420
10423	"STUDIES IN LANGUAGE"	0378-4177	270	0.386	0.583	0.000760
10423	"TRANSPORTATION JOURNAL"	0041-1612	315	0.386	0.728	0.000260
1043	"Frontiers in Plant Science"	1664-462X	"Not Available"	3.948	3.990	0.016280
10435	"Information Systems and E-Business Management"	1617-9846	132	0.385	0.811	0.000400
10435	"International Journal of Sport Finance"	1558-6235	90	0.385	0.568	0.000290
10435	"Journal of Fire Protection Engineering"	1042-3915	153	0.385	0.477	0.000290
10435	"Journal of Nanoelectronics and Optoelectronics"	1555-130X	248	0.385	0.384	0.000580
10435	"NURSING HISTORY REVIEW"	1062-8061	23	0.385	0.289	0.000060
10435	"TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN"	0021-1575	"Not Available"	0.385	0.521	0.000940
1044	"International Journal of Greenhouse Gas Control"	1750-5836	"Not Available"	3.946	4.727	0.017090
10441	"INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL"	1470-3297	423	0.384	1.051	0.001080
10441	"International Journal of Naval Architecture and Ocean Engineering"	2092-6782	78	0.384	0.475	0.000320
10443	"Malawi Medical Journal"	1995-7262	104	0.383	0.533	0.000400
10443	"PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE"	0032-7034	218	0.383	0.399	0.000220
10445	"CIENCIA RURAL"	0103-8478	"Not Available"	0.382	0.505	0.004680
10445	"JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY"	1527-3741	139	0.382	0.378	0.000160
10447	"Acta Mathematicae Applicatae Sinica-English Series"	0168-9673	577	0.381	0.468	0.001340
10447	"Australian Accounting Review"	1035-6908	164	0.381	0.550	0.000320
10447	"FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH"	0015-7899	197	0.381	0.531	0.000140
10447	"METAL SCIENCE AND HEAT TREATMENT"	0026-0673	669	0.381	0.343	0.000870
10447	"PSYCHOANALYTIC QUARTERLY"	0033-2828	480	0.381	0.314	0.000770
1045	"MOLECULAR PLANT-MICROBE INTERACTIONS"	0894-0282	"Not Available"	3.944	4.414	0.014240
10452	"Journal of Korean Academy of Nursing"	2005-3673	359	0.380	0.428	0.000660
10452	"Magnetohydrodynamics"	0024-998X	471	0.380	0.439	0.000710
10452	"SURFACE REVIEW AND LETTERS"	0218-625X	657	0.380	0.418	0.000430
10456	"Cytology and Genetics"	0095-4527	195	0.379	0.350	0.000290
10456	"EVOLUTION PSYCHIATRIQUE"	0014-3855	183	0.379	0.290	0.000100
10456	"JOURNAL OF SOCIAL WORK PRACTICE"	0265-0533	252	0.379	0.725	0.000570
10456	"JOURNAL OF TESTING AND EVALUATION"	0090-3973	738	0.379	0.450	0.001390
10456	"Journal of Marine Science and Technology-Taiwan"	1023-2796	412	0.379	0.580	0.001150
1046	"ECOSYSTEMS"	1432-9840	"Not Available"	3.943	4.572	0.013200
10461	"Computer Law & Security Review"	0267-3649	152	0.378	"Not Available"	0.000430
10461	"Ethical Perspectives"	1370-0049	82	0.378	0.283	0.000210
10461	"FRESENIUS ENVIRONMENTAL BULLETIN"	1018-4619	"Not Available"	0.378	0.419	0.002240
10461	"Hiroshima Mathematical Journal"	0018-2079	308	0.378	0.419	0.000540
10461	"Journal of Electrical Engineering-Elektrotechnicky Casopis"	1335-3632	279	0.378	0.483	0.000520
10461	"Journal of Family Studies"	1322-9400	115	0.378	0.549	0.000390
10461	"Literacy"	1741-4350	114	0.378	0.517	0.000400
10461	"NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN"	0077-7757	834	0.378	0.654	0.000470
10461	"PATTERNS OF PREJUDICE"	0031-322X	181	0.378	0.550	0.000590
10461	"Series-Journal of the Spanish Economic Association"	1869-4187	46	0.378	0.511	0.000450
10461	"TOPICS IN GERIATRIC REHABILITATION"	0882-7524	213	0.378	0.339	0.000320
10461	"WAR IN HISTORY"	0968-3445	71	0.378	0.261	0.000370
1047	"APPLIED CATALYSIS A-GENERAL"	0926-860X	"Not Available"	3.942	4.402	0.038140
1047	"CURRENT OPINION IN PSYCHIATRY"	0951-7367	"Not Available"	3.942	3.560	0.007190
10473	"ENTOMOLOGICA FENNICA"	0785-8760	202	0.377	0.382	0.000320
10473	"Forum-A Journal of Applied Research in Contemporary Politics"	2194-6183	92	0.377	0.338	0.000730
10473	"HIGH TEMPERATURE MATERIALS AND PROCESSES"	0334-6455	220	0.377	0.301	0.000430
10473	"JOURNAL OF BIOLOGICAL SYSTEMS"	0218-3390	273	0.377	0.492	0.000480
10473	"New Medit"	1594-5685	83	0.377	0.354	0.000220
10473	"REVIEW OF RADICAL POLITICAL ECONOMICS"	0486-6134	253	0.377	0.644	0.000800
10479	"Applied Geophysics"	1672-7975	315	0.376	0.633	0.000870
10479	"BRITISH JOURNAL OF HOSPITAL MEDICINE"	1750-8460	517	0.376	0.305	0.001130
10479	"STRENGTH OF MATERIALS"	0039-2316	600	0.376	0.356	0.000760
10482	"ACTA VETERINARIA-BEOGRAD"	0567-8315	253	0.375	0.410	0.000310
10482	"Asian Studies Review"	1035-7823	136	0.375	0.553	0.000530
10482	"CARBONATES AND EVAPORITES"	0891-2556	274	0.375	0.653	0.000410
10482	"DOKLADY MATHEMATICS"	1064-5624	638	0.375	0.320	0.004690
10482	"EDUCATIONAL RESEARCH"	0013-1881	479	0.375	0.669	0.000560
10482	"EUROPEAN JOURNAL OF MIGRATION AND LAW"	1388-364X	119	0.375	0.622	0.000380
10482	"Gedrag & Organisatie"	0921-5077	127	0.375	0.587	0.000180
10482	"Iranian Journal of Biotechnology"	1728-3043	178	0.375	"Not Available"	0.000320
10482	"JOURNAL OF EAST ASIAN LINGUISTICS"	0925-8558	148	0.375	0.358	0.000450
10482	"JOURNAL OF EMPLOYMENT COUNSELING"	0022-0787	155	0.375	0.376	0.000170
10482	"Slovo a Slovesnost"	0037-7031	65	0.375	0.280	0.000030
10482	"Tarim Bilimleri Dergisi-Journal of Agricultural Sciences"	1300-7580	111	0.375	0.371	0.000160
10482	"Urban Design International"	1357-5317	119	0.375	0.678	0.000270
10482	"VIE ET MILIEU-LIFE AND ENVIRONMENT"	0240-8759	525	0.375	0.552	0.000350
10496	"Archivos Argentinos de Pediatria"	0325-0075	340	0.374	0.413	0.000760
10496	"Journal of Cytology"	0970-9371	138	0.374	0.444	0.000420
10496	"Transformations in Business & Economics"	1648-4460	128	0.374	0.299	0.000210
10499	"BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS"	0108-0288	643	0.373	0.554	0.000420
10499	"Evolution Equations and Control Theory"	2163-2480	26	0.373	0.373	0.000330
10499	"JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING"	1530-9827	386	0.373	0.608	0.000910
1050	"CANCER IMMUNOLOGY IMMUNOTHERAPY"	0340-7004	"Not Available"	3.941	3.729	0.014960
10502	"IRANIAN JOURNAL OF FISHERIES SCIENCES"	1562-2916	138	0.372	0.410	0.000460
10502	"Latin American Journal of Pharmacy"	0326-2383	501	0.372	0.311	0.000960
10502	"SEMIGROUP FORUM"	0037-1912	661	0.372	0.512	0.002160
10502	"SOCIOBIOLOGY"	0361-6525	922	0.372	0.403	0.000960
10502	"Visual Communication"	1470-3572	173	0.372	0.564	0.000540
10507	"COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING"	0332-1649	484	0.371	0.332	0.001170
10507	"Chiang Mai Journal of Science"	0125-2526	253	0.371	0.468	0.000460
10507	"JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY"	0022-0930	278	0.371	0.357	0.000340
10507	"SOCIOLOGICAL SPECTRUM"	0273-2173	323	0.371	0.569	0.000590
1051	"BREAST CANCER RESEARCH AND TREATMENT"	0167-6806	"Not Available"	3.940	4.009	0.053470
1051	"CIRCULATION JOURNAL"	1346-9843	"Not Available"	3.940	3.198	0.021740
10511	"Historical Materialism-Research in Critical Marxist Theory"	1465-4466	218	0.370	0.679	0.000950
10511	"INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL"	1368-1613	509	0.370	0.633	0.000610
10511	"INTERNATIONAL JOURNAL OF HUMAN GENETICS"	0972-3757	133	0.370	0.351	0.000150
10511	"Law and History Review"	0738-2480	210	0.370	"Not Available"	0.000540
10511	"PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN"	0033-2623	273	0.370	0.293	0.000170
10511	"UNIVERSITY OF CINCINNATI LAW REVIEW"	0009-6881	312	0.370	0.327	0.000460
10517	"Ciencia e Tecnica Vitivinicola"	0254-0223	38	0.368	0.340	0.000080
10517	"FEMINIST REVIEW"	0141-7789	390	0.368	0.552	0.000510
10517	"Romani Studies"	1528-0748	44	0.368	"Not Available"	0.000220
10520	"Contemporary Political Theory"	1470-8914	82	0.367	0.353	0.000360
10520	"ELECTRICAL ENGINEERING"	0948-7921	206	0.367	0.475	0.000300
10520	"INTERNATIONAL LABOR AND WORKING-CLASS HISTORY"	0147-5479	125	0.367	0.397	0.000380
10520	"Journal of Cognitive and Behavioral Psychotherapies"	1584-7101	95	0.367	0.590	0.000280
10520	"Maejo International Journal of Science and Technology"	1905-7873	119	0.367	0.419	0.000310
10525	"EDUCATIONAL STUDIES"	0305-5698	402	0.366	0.539	0.000900
10525	"Iranian Journal of Radiation Research"	1728-4554	121	0.366	0.532	0.000290
10525	"SOCIAL BEHAVIOR AND PERSONALITY"	0301-2212	"Not Available"	0.366	0.488	0.001860
10525	"Scientia Forestalis"	1413-9324	324	0.366	0.518	0.000800
10529	"AFRICAN ENTOMOLOGY"	1021-3589	418	0.365	0.647	0.000640
10529	"FORUM DER PSYCHOANALYSE"	0178-7667	93	0.365	0.285	0.000120
10529	"Hippokratia"	1108-4189	362	0.365	0.709	0.001040
1053	"ANTIVIRAL RESEARCH"	0166-3542	"Not Available"	3.938	3.788	0.015670
1053	"JOURNAL OF MARKETING"	0022-2429	"Not Available"	3.938	7.421	0.014750
10532	"Colombia Medica"	1657-9534	106	0.364	0.215	0.000160
10532	"Czech Journal of Genetics and Plant Breeding"	1212-1975	159	0.364	0.535	0.000310
10532	"Hemijska Industrija"	0367-598X	198	0.364	0.319	0.000390
10532	"INDAGATIONES MATHEMATICAE-NEW SERIES"	0019-3577	310	0.364	0.382	0.001300
10532	"Kyushu Journal of Mathematics"	1340-6116	140	0.364	0.385	0.000910
10532	"Nordic Journal of Linguistics"	0332-5865	71	0.364	0.321	0.000140
10532	"Research and Theory for Nursing Practice"	1541-6577	269	0.364	"Not Available"	0.000450
10532	"Rhetoric Society Quarterly"	0277-3945	93	0.364	0.365	0.000140
10532	"Russian Journal of Physical Chemistry B"	1990-7931	335	0.364	0.358	0.000710
10532	"SPACE POLICY"	0265-9646	120	0.364	0.479	0.000150
10532	"WOOD RESEARCH"	1336-4561	165	0.364	0.399	0.000390
